find out,"na. 查出；发现；看清…的面目；识破
"
serve as,"v. 用作；充当
"
know of,"v. 知道有
"
know about,"v. 知道
"
the more ... the more,越...越...
for the sake of,"adv. 为了…起见
"
subscribe to,"v. 同意；赞成；订阅；定期捐款
"
be preferable to,"v. 优于；胜过
"
a matter of,"na. 大约；…左右；…的问题
"
ever since,"na. 从…以来
"
be conscious of,"na. 意识到
"
have little use for,vt.不怎么需要
have no use for,"na. 不需要；〈非正式〉不喜欢；讨厌
"
transform ... into,"v. 转变成
"
give birth to, 生（孩子），生育; 引起，产生; 娩出; 娩
easy game, 爱是；容易捕获的猎物；易捕获的猎物
put down to, 归因于；说…因而起；归因为
come to light,"na. 显露
"
civil servant,"n. 公务员；政府官员
"
give off,"na. 发散(水蒸气等)
"
bear out,"na. 证明
"
on the net, 在网上；网上资讯；网络上
dispose of,"na. 安排；解决；办妥；杀掉
"
multitudes of, 众多
pave the way for,"na. 为…铺平道路；使…容易到来
"
take ... to heart,"v. 非常关心
"
stock up,"v. 重新得到；找回；储存；储藏
"
spare no effort, 不遗余力，尽力去做; 卖劲儿; 竭尽; 卖力
stick at,"v. 对…有顾虑；继续做
"
at will,"na. 任意；随意
"
at all events,"na. 无论怎样；总之
"
not so much ... as,"conj. 甚至不
"
wear out,"na. 精疲力尽；用坏；穿破；磨破
"
call on,"na. 号召；指名要(某人)去干(某事)；请求；访问
"
call upon,"na. “call on”的变体；同“call on ”
"
come around,"na. 赶上；达到；袭击
"
come round,"na. 苏醒；(生气的人)消除怒气；(病后)复原；(从某处)转来
"
make use of,"na. 使用
"
at sb.'s disposal,无
on the occasion of,"na. 在…的时候
"
be ready for,"v. 预备好
"
as a matter of fact,"na. 事实上；事实是
"
at the latest,"na. “at latest”的变体
"
start out,"na. 跳出；开始；〔俚语〕企图
"
life sentence,"n. 无期徒刑；终身监禁
"
in a form,无
on short notice,"na. 忽然；急忙；“at/on short notice”的变体
"
single out,"v. 挑选出；精选出
"
better off,"adj. 富有的；富裕的；境况良好
"
fight off, 在战斗[自卫]中击败（某人）; 竭力摆脱[驱走，阻止，回避…]; 辟
burst upon,"na. 突然出现；袭击
"
burst on,"na. 突然出现；袭击
"
stop by,"na. 顺便到(某处)访问；同“stop off”
"
no wonder, 难怪；怪不得；不足为奇
splash out, 挥霍；大肆挥霍；随意花钱
stand up for,"na. 拥护
"
take on oneself, 主动承担；把归咎自己；把归咎自己擅自
take upon oneself,"na. 负担；毅然
"
tidy away,"un. 把(某物)收藏起来:
"
for purpose of, 为了；为了什么原因；为…的目的
for the purpose of,"na. 为…
"
on sale,"na. 出售的；上市的；出售(的)；廉价出售(的)
"
wash out,"v. 洗掉
"
fit for,"v. 适合；对…恰当
"
fit to,"un. 调整到
"
night and day,"na. 日夜；不分昼夜
"
get going,"na. 采取行动；出去；使某人发怒
"
in comparison with,"na. 和…比起来
"
in competition with, 与…竞争；在与…竞争之中；与……比赛
sit in on,"un. 代替；旁听
"
slip up,"na. 滑一跤；〔美国〕弄错；失败
"
hold up,"v. 举起；支撑；耽误；抢劫
n. 抢劫；延误；堵车
"
take shape,"na. 成形；形成；具体化；有显著发展
"
at a loss,"na. 无办法；(猎犬)失去猎物嗅迹；亏本地
"
think out,"na. 想透；想出
"
think through,"na. 仔细考虑；全面考虑
"
turn a deaf ear,"un. 回心转意；置之不理
"
turn a deaf ear to,"na. 充耳不闻；装听不见[置若罔闻]
"
warm to, 爱好；同情；喜欢
on the hour,"na. 准时地；按整小时地
"
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
roll in,"na. (预约者,捐款等)滚滚而来；(浪)滚滚打来；大量进来；到达
"
win out,"na. 摆脱
"
win through,"na. 摆脱
"
be irrelevant to, 不切题；与…不相干；与…不相关
seem irrelevant to,无
differ in,"v. 不同
"
in cash,"un. 占…便宜；用现钱支付的
"
to begin with,"na. 首先；本来〔插入语〕
"
to start with,"na. 首先
"
put to use,"na. 用
"
beyond one's ability,无
in the heart of,"na. 在…中心
"
cast aside,"na. 抛弃
"
take against,"v. 反对
"
show off,"na. 卖弄；〈贬〉自以为是；趾高气扬；炫耀
"
bet on, 打赌；为某事打赌；就…打赌
in broad daylight,"na. 在大白天
"
work off,"v. 渐渐消除
"
keep a hold on,无
wall in,"un. 自我堵塞
"
sleep off,"na. 睡过(时候)；睡掉(忧愁等)
"
stick out for,"na. 不停地要求
"
would sooner,"v. 宁可
"
in high spirit,无
come and go,"na. 来来去去；变化无定；来往
"
on condition,"na. 在…的条件下
"
on condition that,"na. 在…的条件下
"
last but not least,"na. 最后但不是最不重要的一点
"
come to nothing,"na. 等于零；失败
"
file for, 申请；提起诉讼；提出申请
be skilled at, 政客和商人尤其擅长；善于；精通
fight back,"na. 抵抗
"
have difficulty, 有困难；做某事有困难；做…有困难
have difficulty in, 在……方面有困难；在某方面有困难；在……有困难
hold one's own,"un. 忍耐一下；逐渐成为；打了个平手；比得上
"
drop to,"un. 弄虚作假；坠入
"
talk sb. out of, 劝阻；说服某人不做某事；强迫同意或决定不做
come to life,"na. 苏醒过来
"
push up,"v. 提高；强使(物价等)上升
n. 【体】俯卧撑
"
grow out of,"na. 抛弃；戒除；长大而穿不上衣服；源出
"
inject into, 把……注入；给…添加；把…注入身体
talk sb. into doing sth.,无
at worst,"adv. 无论怎样坏
"
at the worst,"un. 无论怎样坏；在最坏的情况下
"
pass on,"na. “pass away”的变体；递；传达；通过
"
take root,"na. “strike root”的变体
"
top up,"n. 补充的饮料；收入补贴
v. 装满；充值
adj. 附加的
"
you bet,"na. 〈口〉肯定
"
tear at,"v. 撕
"
behind someone's back, 在某人背后；背着某人；背著某人
close up,"na. 靠紧；(伤)愈合；密闭；〔美国〕结束
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
enter on,"na. 动手；入；占有(土地,财产等)
"
enter upon,"na. 动手；入；占有(土地,财产等)
"
on line,"un. 在线的；联机；电站并网；机控
"
walk out,"na. 出去；〔美国〕罢工；(丢开人)走掉
"
shut up,"na. 关住；监禁；密封；停止
"
meet up,"v. 偶尔遇见
"
meet up with sb.,"na. 遇着
"
on purpose,"na. 故意；意欲
"
equate with, 把…等同；看作相同；同等
be worthwhile to,无
keep up with,"na. 不落后
"
tangle with, 争吵；纠葛；与…争吵
be relevant to,"v. 有关
"
under ... circumstances, 即期
stand up to,"na. 抵抗；反抗；反对；经得起
"
close by,"adv. 在附近
"
lie in,"na. 存在于；(分娩后)坐月子
"
cast about for sth.,四处寻找，设法找到；设法；筹划
cast around for sth.,＝ cast about (for)
back up,"na. 支持；堵塞；【棒球】抢救后方；【计算机】把(文件等备份)
"
so long,"na. 再见!
"
take a hand in,"na. 参加
"
have a hand in,"na. 干与
"
count ... in,"na. 算入
"
give rise to,"na. 惹起
"
take a chance,"na. 冒险一试
"
start up,"n. 创办中的公司；开机
v. 开办；发动(机器,引擎等)
adj. 新开张的
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
talk back,"na. 回嘴；反复重说；反唇相讥
"
take note, 注意到；记下；引起注意
take note of,"na. 注意(到)
"
take one's time,"na. 从容
"
turn in,"v. 向里弯曲
"
for short,"na. 简称
"
to perfection,"na. 完全地；好极
"
be bound up with,"na. 与…有密切联系；与…结合在一起；和…有密切关系
"
close down,"v. 关闭；关门；倒闭；歇业
"
upward of, 多于， 超过
retreat from,"v. 放弃；撤退
"
be disappointed at, 对…失望；对……感到失望；后应接指东西的词
convenient to do,无
if anything,"na. 甚至可能；要说呢
"
on the move,"na. 一直在动；开始活动；(事件)正在发展；动着
"
tear down,"na. 拆毁；扯下；猛冲
"
stand down,"na. 【法】退出证人席位；暂时辞退；【军】不在值勤中
"
be ignorant of,"na. 不了解
"
count as, 视为；看成；算
on the point of,"prep. 正要N；将要N
"
reckon ... as,"〈非正〉被认作…, 被看作…"
reckon ... to be,无
hint at,"v. 暗示；示意
"
come into effect,"na. 开始实施
"
go into effect,"v. 生效
"
in the matter of,"na. 关于…；就…而论
"
think better of,"na. 经考虑后决定不做(某事)；对…有较高评价
"
do one's best,"na. 竭尽所能；尽力
"
try one's best,"na. 尽全力
"
use up,"na. 用完；耗尽
"
think highly of,"na. 尊重；评价极高
"
think poorly of,"na. 不佩服
"
now and then, 偶尔；时而；不时
come by,"na. 到手；通过附近；〔美俚〕拜访
"
in words, 口头上；用语言；用言语
abound in sth.,"v. 富于
"
abound with sth.,"v. 充满
"
stand off,"na. 〈美〉疏远；延期；离着；【航】离岸行驶
"
be content with,"na. 以…为满足
"
vote sb. in,"un. 否决；当选
"
tune in,"na. 调谐；收听；〔美国〕开始
"
tune in to sth.,"v. 拨；收听
"
be proud of,"na. 以…自豪
"
burn down,"na. 把…烧成平地；(蜡烛等)逐渐烧完；火力减弱
"
argue for,"na. 为…作争辩
"
speculate about,"v. 思考
"
speculate on,"v. 思考
"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
spread out,"na. 张开；铺开；扩张；同“spread”
"
a train of,"un. 瞄准；(一)串；连续不绝；一列
"
die out,"na. 死绝
"
what is worse,"na. 更坏的是
"
turn into,"v. 变成
"
sit by,"na. 袖手旁观；坐在一旁
"
keep abreast of,"na. 跟着(时代)跑
"
be abreast of, 使不落后于
fall victim to,"v. 受害于
"
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
"
in the way,"na. 在路上；妨碍
"
up to the minute,"na. 最新的
"
grip on, 握住
be opposed to,"v. 反对；与…相对
"
go by,"na. 走过；以…为根据(作判断)；〈美〉顺道访问；受…所控制
"
on occasion,"na. 有时；遇必要时
"
tide over,"v. 帮…度过难关
"
sleep through, 未被吵醒；睡过了；惊醒
acquaint with,告诉，告知，通知；使知道，使认识，使了解；使熟悉；使相识，与…结识，介绍
last hurrah,"na. 最后的努力[尝试]
"
take exception to,"na. 对…提出异议
"
for certain,"na. 的确
"
step aside,"na. 走到一旁；避到一旁；让给别人；走错路
"
space out,"na. 加宽行间[词间]间隔排匀
"
in use,"na. 正在用；通行；“in/out of use”的变体
"
in abundance,"adv. 充足
"
hardly ... when,几乎未来得及就…；刚一…就…
hardly ... before,刚一...就...
be in debt,"亏空,亏空额"
give credit to sb. for ...,无
turn a blind eye to,"na. 对…熟视无睹；假装不见
"
rest with,"na. 取决于
"
watch over,"na. 监视；留心；看护
"
on no account,"na. … on any account 决不
"
think over,"v. 仔细考虑
"
fill with,"v. 充满
"
out of doors,"na. 在户外；在外；“out-of-doors”的变体
"
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
tear away from,无
run wild,"na. 蔓延；狂暴起来；放肆起来；放荡
"
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
"
for anything,"na. 给什么都(不干)
"
not for anything, 绝不；决不；根本不
stick together,"v. 粘合起来
"
talk sense,"na. “speak sense”的变体
"
drag sb. down,"na. 挣工资；赚(钱)
"
drag sth. down,"na. 挣工资；赚(钱)
"
operate on,"v. 对…施行手术；用…开动
"
lead into,把…带入; 导致; (道路等)通向
hear from,"na. 得到…的消息
"
on the table,"na. 公开地；摆在桌面上；在桌子上
"
fix up,"na. 〈美口〉修理；解决；组织；安顿住处
"
keep a close watch on,"v. 密切注意
"
cheer sb. on,"un. 欢呼；喝采；高呼加油:；为某人打气
"
cheer on sb.,"un. 欢呼；喝采；高呼加油:；为某人打气
"
on hand,"na. 现有；〈美〉出席；〈美〉在近处
"
vote against,"v. 投票反对
"
scale down,"na. (按比例)缩减；【无线】分频；“scale back”的变体
"
distinguish between ... and ...,无
come into use,"na. (某物)开始被使用
"
buy out,"na. 出钱使某人出让地位[产权等]；买下…的全部产权
"
equip with,"v. 装备
"
keep one's word,"na. 守约；履行诺言；说话算话
"
dry out, （使）变干， （使）干涸; <非正>（使）戒（酒、毒等）; 晾干
have a good time,"na. 过得愉快；很愉快
"
at intervals,"na. 时时；处处；偶尔
"
time out,"n. (英国)《暂停》周刊
"
in the long run,"na. 归根到底；“in the long run/term”的变体
"
take action,"na. 动手；采取行动；采取(快速)措施；提起诉讼
"
touch down,"na. 【橄】触地得分；【航】着陆；着陆过程中的一部分；着陆时间
"
avail oneself of,"na. 利用时机
"
not ... at all,"na. 毫无(=〔美国英语〕 You are welcome)
"
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
"
think up,"na. 想出；〔口语〕发明
"
tear ... away,"na. 撕掉；扯开；飞跑
"
play off against, 完成同其他优胜者的平分比赛; （使）相互争斗以坐收渔利
see to,"na. 注意；留心；当心；检查
"
in the interest of,"na. 为了…的利益
"
circulate to,无
time and again,"na. “time after time”的变体
"
time and time again,"na. 常常；反复
"
throw out,"na. 投出；拒绝；否决(议案)；派出
"
be central to, 对…极为重要的；是…的核心；对…来说是重要的
prepare against, 准备应付；准备应付不好的事情；防备
bring into, 使达到…; 把…拿入; 使开始生效; 使清楚地被人理解[知道]
speak out,"na. 大声讲；老老实实讲
"
speak up,"na. “speak out”的变体
"
on the spot,"na. 当场；立刻；【商业】用现货[现款]；(人)准备妥当
"
on leave,"na. 请假中
"
with a view to,"prep. 为了
"
fall off,"na. 下降；(从马上)掉下来；扫兴颓丧；离开
"
sweep into, 涌入；席卷市场；把…扫入
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
"
put through,"na. 经受；测试；试验；使…通过
"
pick out,"na. 挑选；掘出；闻出；领会
"
for life,"na. 终身；为逃[保]命
"
pass away,"na. 消失；Vi. 经过；去；终止
"
keep secret,"na. 保守(某事)秘密
"
keep ... secret,"na. 保守(某事)秘密
"
to the limit of,无
on the decline,"na. 没落；在低落中；在衰退中
"
be distracted by, 被…分心；对······心烦意乱
draw up,"na. 写出；正容；整(队)；拉起(鱼网等)
"
commit suicide,"na. 自杀；自尽
"
once for all,"na. 只此一次；断然
"
once and for all,"ph. 一劳永逸地
"
swear to,"na. “swear”的变体
"
for fun,"na. 开玩笑
"
wait on,"v. 等着
"
step by step,"na. 一步一步；切切实实
"
by rights,"na. 按理说
"
without fail,"na. 必定
"
at stake,"na. 被赌着；在危险中；利害[生死]攸关
"
in a small way,"na. 小
"
piece together,"na. 拼合
"
triumph over,"un. 击败；克服；战胜:
"
step out,"na. 下(车)；走出屋外；放大脚步；辞职
"
to my mind,"na. “in my mind”的变体
"
head into,"na. 开始
"
be up in the air,"na. 悬而未决；尚未决定
"
fall down,"na. (向下游)流下；〔美俚〕失败；跌倒；同“fall”
"
safe and sound,"na. 平安无恙
"
stop short,"na. 猛然停止；使(谈话等)停止；【剑术】挡住
"
fit into, （使）适合， （使）合乎…的时间[空间]，与…融为一体; 纳入
bid for,"na. 投标求包(工程)；出价竞买(某物)；争取得到(拥护等)
"
take ... by surprise,"v. 突然惊吓
"
be typical of,"v. 代表；象征
"
persist in,"v. 坚持
"
the moment,"na. (= as soon as)一…(就)
"
the moment that, 一…就
slip through,"un. 溜出去；漏出去
"
turn away,"v. 转变方向
"
under pressure,"un. 在压力下
"
follow one's example,无
at present,"na. 目前
"
stumble on,"un. 踌躇地转着；碰上
"
stumble upon,"un. 踌躇地转着；碰上
"
stumble across,"un. 踌躇地转着；偶然发现
"
pull through,"na. 恢复健康；痊愈；渡过难关
"
hold back,"na. 阻止；踌躇；隐瞒；抑制
"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take a fancy to,"na. 爱好
"
at a stretch,"na. 一口气
"
tie up,"na. 绑；系；包扎；(船只)系泊
"
buy off,"na. (用贿赂)收买；用钱疏通[保护,救]；同“buy”
"
core values, 核心价值观；公司核心价值观；金地核心价值观
stand in,"na. 加入；〈口〉使花费
"
find fault with,"na. 吹毛求疵；找…的岔子
"
make certain,"na. 保证
"
turn up,"v. 朝上翻；出现
"
level off,"na. 弄平；达到同一水准；(物价等)稳定；(飞机降落前)水平飞行
"
on the increase, 在增加；正在增加；正在增长
on the verge of,"na. 将近(几岁)；即将…
"
up to date,"adj. 现代的；最新的；时髦的；新式的
"
up against,"na. 面临；遭遇(障碍等)
"
come to a close,"na. 将完
"
draw to a close,"na. “come to a close”的变体
"
bottom line,"n. 底线；底价；要旨；基本论点
"
on that score,"na. 因此；在那一点上；“on that/this score”的变体
"
size up,"na. 够标准；估量；〔口语〕品评
"
to the extent of,"na. 达到…的程度
"
clean out,"na. 扫除干净；〔俚语〕(把钱)花完
"
in brief,"na. 简单地说
"
year after year,"adv. 年复一年
"
year by year,"na. 年年；逐年
"
in a position, 处于某个地位；胜任；能够做
give access to,"na. 接见；准许出入
"
by common consent,"na. “with one consent”的变体
"
dozens of,"adj. 许多
"
out of hand,"na. 即时；脱手；告终；难对付
"
throw oneself into,"na. 开始热心做(某事)
"
tell the white lie,无
pour out,"v. 倾吐；诉说
"
walk away,"n. 轻易取胜
"
walk off,"na. 离开；用走路来消散；带走
"
get around to,"v. 找时间做
"
get round to,"v. 找时间做
"
come into existence,"na. 产生；成立
"
run for,"na. 去叫(…)；做…的候选人
"
supply with,"v. 供给
"
supply to, 供应；给的供应；为……提供
burn up,"na. 烧完；旺起来；使恼怒；发怒
"
turn one's back on,"na. 不理睬；丢弃；逃出
"
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
"
have connection with,"un. 〔商〕联运车(船)；有贸易关系的商号；〔生〕食物联系；〔计〕连接
"
rare bird, 珍禽；珍稀鸟类；奇异珍贵的宝物
no way,"na. 无论如何不
"
beat to the punch, 首先做出决定性的行动
arm with,"v. 以…武装着
"
take a loss,承担损失
on schedule,"na. 按时；按时间表；按照预定计划
"
be on the ropes,（登山者）用绳相互系在一起
trade off,"na. 卖出
"
make a sacrifice,"v. 牺牲
"
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
"
stick around,"v. 粘在旁
"
badly off,"adj. 穷困的；拮据的；境况不佳的
"
finish up,"na. 完成；吃光；用尽；同“finish”
"
expert in,"v. 精通于
"
expert at,"v. 精通
"
tie in with,"un. 牵制；与…联合在一起
"
cheer up,"v. 鼓舞；振作一点
"
spread over,"na. 〈英〉(根据特殊需要而作的)部分工时调整
"
be addicted to,"na. 嗜好
"
on edge,"na. 易怒；急切；竖着
"
be on edge,焦虑不安的
give place to,"na. 让位于
"
head for,"na. 走向
"
submit to,"un. 使某人忍受某事:
"
sort of,"adv. 有几分地
 （想不出恰当的词或不知下面该怎么说时用）可以说，可说是"
take a nap,"na. 睡午觉；打一个瞌睡
"
get a nap,无
have a nap,"na. 睡午觉；打一个瞌睡
"
drive sb. to do sth.,无
talk nonsense, 胡说八道；胡言乱语；枉口拔舌
bid up,"un. 〔经〕哄抬(价格)；追逐；买；抬高
"
take the place of,"na. 接替某人的位置
"
on order,"adj. 已定购
"
go over,"na. 仔细查看；仔细搜查；排练；重温
"
go into action,"na. 开始行动；投入战斗
"
be absorbed in,"na. 全神贯注在…；热衷于
"
become absorbed in,无
die down,"na. 殉国
"
complain of,"v. 抱怨；叫屈
"
as often as not,"na. “more often than not”的变体；往往
"
to sb.'s credit,无
be in sympathy with,同意；随着；赞同；和...一致
tire out,"na. 使疲倦到极度
"
stay on,"na. 赖着不走；保持
"
check up on,"na. “check on”的变体
"
take down,"na. 扯下；卷起；记下；卸下
"
touch off,"na. 正确地表现；草草写；添画；发射
"
on the air,"na. 广播中；(正在)广播；哭着；闹着
"
act for,"na. 代理
"
reply to,"v. 答复；回答
"
to date,"na. 至今
"
keep down,"na. 压住；压服；【印】用小活字排印；缩减
"
accede to,"v. 同意
"
assault on, 对……猛袭；突击；袭击
turn round,"na. 旋转；(忽然)转过身来
"
draw into,"v. 诱使参加
"
check in,"v. 〈美〉报到；(旅馆)登记
"
be alien to,"v. 与…相反
"
be sensitive to,"na. 对…敏感
"
to one's knowledge, 据某人所知；据…所知；就某人所知
except for,"na. 只有
"
be keen on,"na. 喜爱
"
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
turn back,"na. 同“turn down ”
"
coincide with,"v. 与…一致
"
compatible with,"adj. 与…不矛盾
"
at fault,"adv. 困惑；不知所措
"
to all appearances,"na. 显然；没有不像…的
"
sink in,"un. 晕倒；西斜；渗入；打进心坎
"
add up to,"na. 总计共达；〔口语〕总之就是
"
build on,"na. 依赖；把…建筑于
"
build upon,"na. “build on”的变体；同“build on ”
"
step down,"na. 走下；退出；【电】下降；辞退
"
throw up,"na. 呕吐；抛上；急造；丢弃
"
stir up,"v. 转播；重播；搅拌；煽动
"
talk down to,"v. 降低声调说
"
be jealous of,"v. 妒忌
"
at leisure,"na. 在闲暇中；从容不迫地；失业
"
extend to, 延伸到，延续到；延伸至；扩展到
run out,"na. 耗尽；用光；过有效期；失效
"
run out of,"na. 用光…
"
graduate from,"v. 毕业于
"
in perspective,"na. 按照透视画法的[地]；展望中的[地]；正确的[地]
"
incur criticism,无
in proportion,"un. 匀称；一分不多；按比例
"
in proportion to,"na. 与…成比例；与…相称；按…的比例(越…越…)
"
eliminate from, 从…中消除；从……排除；去除
on the go,"adj. 〈口〉忙忙碌碌的
"
play with,"na. 玩弄(火等)；以…自娱
"
allow for,"v. 考虑到
"
to the contrary,"na. 反对地
"
at a glance,"na. 一看就；初看
"
nowhere near,"na. 远远没有；总不如(那么好等)
"
in and out,"na. 迂曲；忽隐忽现
"
on the alert,"na. 警惕
"
take heart,"na. 鼓起勇气
"
fix on, 把…固定住; 把…集中在…上; 确定; 选定
land in, 着陆；在……着陆；在大地点着陆
step in,"na. 调停；介入；挤进；走进
"
run over,"v. 轧过；碾过；演练；排练
"
at the instant of,无
be indicative of, 表明；暗示；表示
team up,"un. 配合
"
make nothing of,"na. 轻视；满不在乎；认为不在话下
"
word for word,"adv. 逐字翻译
"
explain away,"na. 巧辩过去
"
trade on,"na. 利用(某人的)名声
"
trade upon,(为自私的目的)利用
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
come at,"v. 得到；达到
"
gender inequality, 性别不平等；两性不平等；性属上不平等
take a delight in,"喜爱,以…为乐"
be worthy of, 值得；配得上；对得起
plough through,"un. 破浪航行
"
by reason of,"na. 凭…的理由
"
