be pumped out,"na. 累得喘不过气来
"
be puzzled by,无
be related to,"na. 和…有(亲戚)关系
"
be relieved to,无
be resistant to, 抵抗的；抗拒；有抵抗力的
be responsible for,"v. 负责；担负
"
be reviewed as,无
be scanned into digital files,无
be scheduled for,"订于…,定于…"
be secure from,没有遭受
be stuck, 卡住了；被困住；卡住了，动不了
be superior to,"na. 比…好；超然于
"
be supposed to,"na. …(在职务上)要；〈口〉不许
"
be sure of,"na. 确信
"
be surprised to,无
be surprised at,"v. 惊奇
"
be swamped with,"na. 忙于(种种应酬)
"
be through,"v. 结束
"
be through with,"na. 做好(工作等)；和…绝交；和…分手
"
be up to,"un. 面对；在干；居心
"
be used to,"na. 惯于
"
get used to,"na. 变得习惯于
"
beaver fur, 海狸皮；海狸皮毛；海狸的毛皮
begin with,"na. 从…开始
"
behave yourself,"un. 放规矩一点
"
behavior communication,无
behind schedule,"na. 比预定时间晚
"
belong to,"v. 属于；附属
"
benefit concert, 慈善音乐会；义演音乐会；慈善演唱会
benefit from,"v. 从…得到好处
"
benefit by,"v. 得益于
"
bestow ... on ..., 赠与；赐予；拿什么安在他身上
bestow ... upon ..., 赠与
better watch one's step,无
between you and me, 你我之间；你知我知；在你我之间
beyond one's control, 难以约束；处于某人控制范围之外；超出某人的控制能力
big deal,"int. 表示不赞同或不以为然
n. 〈口〉至关重要的事(或物)
"
big bucks,"n. 一大笔钱
"
big megabucks,无
bird migration,"un. 鸟类移栖；候鸟的定期移栖；候鸟定期迁栖
"
birthday greeting,无
Christmas greeting,无
bitter flavor,无
blend in,"v. 相称；交融；混合
"
blend in with,与…调和
block out,"na. 画略图；拟大纲；同“block in ”
"
blonde hair,无
blood sample,"un. 血样
"
boundary line,"na. (边)界线
"
brand of,无
break down,"v. 分解；抛锚；分析；划分
"
break out into,"v. 突然做出
"
brief holiday greeting,无
brief introduction,"un. 简介
"
bring about,"na. 造成；带来；【航】(使船)回转
"
bring down,"na. 降低；击落；削减；使落下[跌落]
"
bring forth,"na. 提出；生
"
bring home the bacon,"na. 成功；得胜；谋生；如愿以偿
"
bring sb. to trial,审判某人
broad claims,无
bubble economy,"na. 泡沫经济
"
buck against, 反对；同…作斗争
buck for,"na. (不择手段地)争取(升级,利益)等
"
budget deficit,"un. 〔经〕预算赤字；财政赤字
"
build nests,无
build on,"na. 依赖；把…建筑于
"
bulletin board,"n. 布告栏；告示栏；【网】电子公告栏
"
burn out,"na. 烧起来；烧光；烧尽；烧断
"
burn up,"na. 烧完；旺起来；使恼怒；发怒
"
business associate, 商业伙伴；生意伙伴；业务伙伴
business management,"un. 企业管理
"
busy schedule,无
busy signal,"na. (电话的)占线信号
"
by a small margin,无
by any chance,"na. 万一
"
by chance,"na. 偶然
"
by coincidence,"adv. 刚巧
"
by implication,"na. 含蓄地
"
by mail,"na. (=〔英国〕 by post)邮(寄)
"
by the time,"na. 到…的时候
"
calculate the budget,无
calculate the number of calories,无
calculus course,无
call for,"na. 呼吁；主张；需要；接(某人)
"
call for help,"un. 呼救
"
call it a day,"na. 今天就这样算了
"
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
call on,"na. 号召；指名要(某人)去干(某事)；请求；访问
"
call upon,"na. “call on”的变体；同“call on ”
"
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
can't help doing, 禁不住做某事；情不自禁做某事；忍不住做某事
couldn't help doing,无
cancel out,"v. 相约；相消；抵消
"
carbonic acid,"n. 碳酸
"
care for,"v. 照顾；关心；喜欢
"
cash the check,无
catch a flu,无
catch up on,"v. 听消息
"
change one's mind,"na. 改变想法
"
change the channel, 换频道；换个频道；更换频道
check in,"v. 〈美〉报到；(旅馆)登记
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
check the scales,无
check up on,"na. “check on”的变体
"
checking account,"n. 活期存款账户；往来账户
"
chemical elements, 化学元素；化学成分；化学元素表
chemical pesticide,化学农药
chemical reaction,"na. 化学反应
"
chew over,"na. “chew upon”的变体
"
children development,无
chocolate syrup,"n. 巧克力糖浆
"
chop down,"na. 砍倒
"
chunks of,无
city planning,"un. 城市规划
"
claim to, 要求；声称；称得上是
class project,无
classical music,"na. 古典音乐
"
clean up garbage,无
clear off,"na. 理清(工作等)；清算；卖掉；撵走
"
clear the way for,"un. 为…扫清道路；开路
"
clear up,"na. 整顿；说明；(天气)转晴
"
clue to, 提示；的线索；某事的线索
college career,无
collide with,"v. 碰撞
"
colonial period, 殖民地时期；殖民时代；殖民期
color stripe, [计]彩色条纹
combine with,"na. 和…结合；与…化合
"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
"
come along,"na. 进步；同意；一道来；请过来
"
come around,"na. 赶上；达到；袭击
"
come down with,"na. 生病；得(病)
"
come into contact with sb.,vt. 接触(接触到)
come out,"na. 出来
"
come out on top,"na. 赛赢；获得大成就
"
come over,"na. 渡过来；(从敌方)过来；变挂；〔口语〕欺骗
"
come to terms,"na. 谈判成功；投降
"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
"
come what may,"na. 反正都
"
comment on,"v. 评论
"
comment about,无
commercial success, 商业上的成功；商业上之成功；商业成功
committee meeting,"委员会会议
指导委员会"
common sense,"n. 常识
"
common use,"un. 共用
"
communicate with,"v. 联络
"
comparative advantage,"un. 相对有利；比较利益
"
comparative education,比较教育(学)
compare to,"un. 核对记录；商量了一番；比较；和…相仿
"
compare ... with,"na. 和…比较[对照]
"
compensate for,"v. 补偿；抵偿
"
complain about,"v. 埋怨
"
complain to, 向某人投欣；是投诉的意思；冲着某人抱怨
complicated troubles,无
computer data base, 计算机资料库
computer literacy, 计算机文化; 计算机普及教育; 计算机扫盲; 计算机使用知识
computer power button,无
concentrate on,"na. 集中在；专心于
"
confess to,"v. 承认
"
conflict of interests, 利益冲突；利害冲突；有利益冲突
conflict with,"v. 相抵触
"
confuse ... with,"v. 混淆
"
Congressional Record,"na. 〈美〉国会议事录
"
congressional representative,无
consensus on,无
consensus about,无
consent to,"v. 同意；赞成
"
consider ... done,无
consider to be,无
consist of,"v. 由…合成
"
contemporary poet,无
continental drift,"n. 大陆漂移
"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
"
convert to,"na. 使(某人)改信(某教,尤指改信基督教)
"
convert into,"v. 转换成
"
convey emotions to,无
coop up," 禁闭, 困住, 把…关起来"
copying machine,"un. 复印机；仿形机床
"
cosmic dust,"n. 宇宙尘
"
cost sb. an arm and a leg,"na. 使付出一大笔钱
"
count on,"na. 指望；预料到；期望
"
count ... in,"na. 算入
"
count ... out,"na. 一面数一面取出；一面数一面分开；除开
"
cozy atmosphere,无
crash the rebellion,无
creative thinking, 创造性思维；创意思考；创造性思考
credit transfer,"n. 银行转账
"
cultural diffusion, 文化传播；文化扩散；文化散播
curl up, （使）卷; 缭绕升起; （使）厌恶; （使）身体上[精神上]垮掉
current affairs,"n. 时事
"
cursive script,"un. 草写体
"
cut across,"na. 对直穿过；同“cut”
"
cut back,"na. 缩减；修剪(树枝等)；回叙往事
"
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
cut down on,"un. 削减；节省；减轻
"
cut down the budget,无
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
"
cut it out,"na. 停止!
"
dark pigments,无
data process,"un. 数据处理
"
daylight hours,无
debate over,无
debate with,"与…辩论，与…争论；debate with oneself独自考虑,细想,心中盘算"
decent pay,无
decide on,"na. 决心
"
dedicate one's energy to,无
define ... as,把…解释为；定(某词、短语等)的意义为，下定义为
delight at, 听到…消息而高兴；为…而高兴；为…而欣喜
deliver a judgment,无
deliver a verdict,无
deliver a speech,"na. 演说
"
deliver a lecture,无
deliver an address,"发表演说,致词"
deliver a speech,"na. 演说
"
deliver a lecture,无
deliver an address,"发表演说,致词"
deny oneself sth.,"na. 自制；放弃
"
deny oneself doing sth.,无
department chair, 系主任；系主任的职位；系主席
depend on,"v. 依靠
"
deplete all natural resources,无
deposit a layer of sediment,无
derive ... from,"v. 来自；起源于
"
descend from,"na. 是…的后裔
"
develop film,无
digestive system,"n. 消化系统
"
dirt cheap,"adj. 极便宜的
adv. 极便宜地
"
discussion class,无
disposable paper cup,无
distinctive characteristic,无
distinctive feature,"na. 【语】示差特征
"
distinguish ... from, 区别；区分；识别，辨别，辨认
distort history,无
distort the original meaning,无
distribution center,"un. 配电中心；物资调运库；分配站
"
dive in,"un. 跳水:
"
divide into,"v. 分为
"
do sb. a favor, 帮忙；帮一个忙；做好事
do with,"na. 对付；忍耐；与…相处
"
dormitory area,宿舍区
dormitory officer,无
dozens of,"adj. 许多
"
draft of paper,无
drag one's feet on,无
drastic climatic variation,无
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
drive apart,无
drive home,"na. (把钉)敲进去；使明白；用车把…送到家；使人理解
"
drive sb. up the wall,"un. 使发狂
"
drop by,"na. 随便访问一下
"
drop sb. off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
"
drug trade, 毒品交易；贩毒；毒品贸易
due to,"un. 由于；预定；因为；亏
"
dust devil,"n. 尘卷风
"
eager for,"v. 渴望得到
"
eager to,无
eager to do, 急于做；迫不及待的做某事；形容词
earn a reputation as,无
gain a reputation as,无
establish a reputation as,无
eat away,"na. 蚕食；继续吃下去
"
ecological balance,"un. 生态平衡
"
ecological disaster,"un. 生态灾祸；生态分布
"
economic conditions,经济条件（economic condition的复数形式）
economic crisis,"na. 经济危机
"
economic perspective,无
effective measures,"un. 有效措施
"
effective remedy, [法]有效补救方法
either of, 任何一个；两者其一；两者之一
electric bill,电子账单
electrical impulses, 电脉冲；电力的驱使
electrical signals, 电讯号；电气信号
electronics engineering, 电子工程；电子工程学研究所；电气与电子工程
elementary school,"n. （美国）小学
"
elevation of,无
elevation to,无
employment agency,"n. 职业介绍所
"
encounter difficulties,n.遭到困难
encounter danger,遇到危险
encounter trouble,无
encounter opposition,无
encourage sb. to do sth., 鼓励…做；鼓励做某事
end up,"na. 结束；完事；[俚]死；直立着
"
endangered species,"na. 【生】濒危物种
"
energy source,"un. 能源；能量吸收器
"
engage in,"na. 从事；参加
"
enjoy the company of sb.,无
enjoy sb.'s company,无
enormous expenditure,无
entertain ... with,用…来招待(某人)：
environmental issue, 环境问题；环境议题；环保
environmental science class,无
erase data,无
escape from,"v. 逃脱
"
even if,"na. 即使…也
"
even though,"na. “even if”的变体
"
even now,"na. 甚至现在还；〈诗〉恰恰现在
"
exchange ... for,"un. 以…换:
"
exchange greetings, 互相问候；互致问候；彼此打招呼
executive summary,"un. 经营综合报告
"
exhaust a subject,un. 彻底研究问题
exhaust a topic,无
exhaust oneself, 精疲力竭；疲惫不堪；筋疲力竭
exist in,"na. 存在于…中
"
exotic plant,外地植物;外来植物;引入的植物
expand productive forces,无
expect for,[罕用语] 期望，期待，指望，盼望，预期(某人来吃饭等)
experimental station,"un. 试验站；实验站
"
explosive news,无
explosive situation,无
expose ... to,"un. 暴露于
"
extend the deadline,无
extinct species, 灭绝的物种；灭绝物种；已灭绝生物品种
extra ticket,无
extract the cellulose,无
extracurricular activity, 课外活动；课外活动经历；课后活动
facial expression,"na. 面部表情
"
fade away,"n. 逐渐消失
"
fade out,"na. (使)渐隐；【无线电】(使)(声音)渐消
"
faint hope,无
faint possibility,无
faint chance,无
fair comment,"un. 公正评论
"
fair trial, 公平审判；公正审判；公平审讯
faith in, 信仰；对……的信任；有信心
fall apart,"na. 土崩瓦解
"
fall back on,"na. 撤退到…线；求助于
"
fall behind,"na. 落后；跟不上；落下；拖欠
"
fall off,"na. 下降；(从马上)掉下来；扫兴颓丧；离开
"
fall out,"v. 〈非正式〉吵架；争执；闹僵；分手
"
fall through,"na. 失败
"
family reunion, 家庭团聚；团圆；家人团聚
farewell party, 欢送会；惜别会；欢送晚会
feel like,"na. 〈口〉想要…；愿意…；感觉像是…
"
field study,"na. 野战工事；野外测量[考察]
"
field trip,"n. （常指学生进行的）野外考察
"
fierce rays of,无
figure out,"na. 估计；解决；了解；〈口〉确定
"
fill in,"na. 填充；填写；同“fill”
"
fill out,"na. 填写(表格等)；变胖；长胖；胖起来
"
fill with,"v. 充满
"
final exam,"n. 期末考
"
final grade,无
final paper,无
finalize one's plan,无
financial institution,"un. 金融机构
"
financial plan,"un. 财政计划；财务计划
"
financial regulation,n. 金融管制; [财]金融条例; [法]财政法规
find a way to,无
find out,"na. 查出；发现；看清…的面目；识破
"
find ways to,无
finish the roll,无
finish with,"na. 完成；和…断绝关系
"
finishing touch,"na. (绘画等)最后修饰的笔触
"
fix the heater,无
fix the problem,无
fix an appointment with,无
make an appointment with,"v. 与…约定
"
flavor of,无
flexible schedule, 弹性时间表；弹性上课时段；灵活作业计划
flexible working hours,"un. 弹性工时；机动工时
"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
food allergy,"un. 食物过敏性；食物性变态反应
"
food chain,"n. 食物链
"
food package,n.食品包装
for a rainy day, 以备不时之需；未雨绸缪；以防不时之需
for a while,"adv. 片刻
"
for generations,"na. 一连好几代
"
for instance,"na. 例如
"
for nothing,"na. 徒然；白白；没有结果；免费
"
for one's sake,"un. 行行好；看在…面上；为了…自己好；为…着想
"
for the sake of,"adv. 为了…起见
"
for sale,"na. 出售(的)
"
for some reason,"adv. 由于某种原因
"
for sure,"adv. 确实
"
for the benefit of,"na. 为…(利益)打算；〔反意语〕为惩戒…
"
for one's benefit,为某人的利益
for the time being,"na. 暂时；一时；临时；在目前
"
for the world,"na. 无论怎样看[怎样说]都
"
force ... out through,无
formulate a theory,系统地阐说一种理论
franchise store,无
free verse,"n. （无固定格律的）自由诗
"
freeze over,"na. 全面结冰
"
freeze up,"na. (使)冻结；(态度等)变呆板[冷淡,僵硬]
"
from a biology perspective,无
from now on,"na. 从今以后
"
fuel efficiency,"un. 燃料效率；燃油效率；热效率；燃料的热值
"
full refund, 全额偿还；全额退款；全额退费
full scholarship, 全额奖学金
furious with sb. at sth.,无
garbage can,"n. （常置于房外的）垃圾桶
"
garbage bin, 垃圾桶；垃圾箱；垃圾筒
garbage collector,"n. 收垃圾的
"
general response,无
generation gap,"n. 代沟；两代人之间的隔阂
"
genetic testing, 基因检测；遗传检测；基因测试
get a chance of,无
get a grasp on,无
have a grasp on,无
get a job offer,无
get a lot out of,无
get a refund,无
get a ride, 搭车；搭便车；骑车
get a scholarship to the university,无
get around to sth.,"v. 找时间做
"
get around to doing sth.,无
get away with,"na. 拿走；避开责备[惩罚]；〈俚〉卷(款)潜逃
"
get caught, 被抓住；遭遇；逮住
get going,"na. 采取行动；出去；使某人发怒
"
get in one's hair,无
get into trouble,"na. 遇到麻烦；卷入纠纷；受责备；未结婚而怀孕
"
get off on the wrong foot,"na. 第一步就走错了
"
get off the ground,"na. 飞起；开始
"
get off work,v. 下班
get on one's nerve,无
get one's hair cut,无
have one's hair cut,无
cut one's hair,无
get one's hands full of sth.,无
get paid,"un. 领工资
"
get ready for,"v. 作准备
"
get started on, 开始做
get stuck,"v. 上当
"
get time off from work,无
get tired of sth., 对……感到厌倦；厌烦；对……厌烦
get tired of doing sth.,无
get tired doing sth.,无
get to sleep,"v. 得睡觉
"
give in,"na. 让步；屈服；投降；上交
"
give off,"na. 发散(水蒸气等)
"
give sb. a break,"na. 给(某人)一个面子
"
give sb. a hand,"un. 制住；帮着干一点
"
give sb. a hand with,无
give sb. a refund,无
give sb. a ride to,无
give sb. a ring, 打电话给某人；打了一个电话
give sb. an ultimatum,无
give sb. credit for,"na. 把…贷给(某人)；把…归功于(某人)；认为当然有(某种性质等)
"
give sth. a thought,无
give up on,"v. 对…不再抱有希望
"
glacial movement,无
glial cell, 神经胶质细胞
go extinct,无
go jogging, 去跑步；去慢跑；去慢跑吧
go to one's head,冲昏头脑；使自负，得意洋洋
go to the gym,无
go in one ear and out the other, 一耳朵进，一耳朵出；左耳进右耳出；总是忘事
be in one ear and out the other,无
go across,"na. 渡过；不顺
"
walk across,"vt.走过,穿过"
run across,"na. “Come across”的变体
"
gold reserve,"n. （国家银行维持货币供应量的）黄金储备
"
good reputation, 比喻声誉流芳后世；信誉好；好名声
bad reputation, 坏名声；丑恶的名声；名声不好
got the time,无
gourmet coffee, 由咖啡豆磨制的咖啡；美食家咖啡；精制的咖啡
government agency,"un. 政府机关；政府机构
"
graduation announcements,无
graduation ceremony,"n. 毕业典礼
"
grand canyon,"n. 【旅】亚利桑那州大峡谷
"
grant one's request,无
grant a request,"na. 接受(某人)要求
"
grasp at,"na. 攫取
"
gravitational force,"n. 地心引力
"
Great Depression,"un. 大萧条；大恐慌
"
greeting card,"na. (生日,节日等的)贺片
"
groan about,"vi.埋怨,抱怨"
grow hemp,无
grow up,"na. 长大
"
gym pass,无
habit forming,adj. （尤指药物毒品等）易上瘾的；易成习惯的
habitat destruction, 生境破坏；栖息地破坏；毁坏栖息地
half off, 半场开关；打五折；打对折
hand in,"na. 交进
"
hand out,"na. 分；拿出来；施舍
"
hand-me-down,"n. 传下来的东西；现成的廉价衣服
adj. 传下来的；现成而价廉质次的"
hands down,"na. “hand down”的第三人称单数；不费气力地；无疑地
"
hang out,"na. 同“hang”；把上身伸出(窗外)；挂出门外[窗外]；拖延
"
happen to,"v. 发生于
"
hard line,"n. 强硬路线；强硬派
adj. 强硬路线的
"
hardly anyone has noticed,无
have a chance to,无
have a big appetite,无
have a good appetite,"na. 食欲旺盛
"
have a poor appetite, 胃口不好；胃口好；一个中文词语或英文单词
have a habit of doing, 有…的习惯；有做某事的习惯
have a problem with, 在……有问题；在方面有问题或困难；在…方面有问题
have a way with,"na. 善于处理
"
have a ... trip, 旅行；去旅游；进行旅行
have abundant energy,无
have anything on,无
have one's address,无
have problems with,无
have right to do,无
have room for, 容纳；及物动词
have the authority to do,无
have time to do,无
have to do with,"na. 和…有关系
"
have access to,"na. 得接近；得会见；得进入
"
gain access to,"na. 接近；会见；接通(计算机)
"
have ... access to,"na. 得接近；得会见；得进入
"
gain ... access to,"na. 接近；会见；接通(计算机)
"
have a haircut,"v. 理发
"
get a haircut, 剪头发；理发；剪个短发
head for,"na. 走向
"
head on,"na. 把船头朝前；迎面地
"
head over to,无
hear about,"v. 得知；听到关于
"
hear of,"na. 听说；获悉；收到…的消息；知道
"
heating system,"un. 供暖系统；供热系统
"
heavy traffic,"na. 交通[行人]拥挤
"
help oneself to,"na. 自由取食；任意占用[取用]
"
help out,"v. 帮助…摆脱困境；救出；协助
"
hesitate to do,无
historical perspective, 历史展望；历史回顾；历史角度
historical significance, 历史意义；划时代的意义；史学意义
hold on,"na. 拉住；继续；坚持下去；(打电话时)不挂断
"
hold on to,"na. 赖着不走
"
hold over,"na. 将…延迟；保存；期满后继续任职；期满后继续占有
"
hold the grudge,无
home radio receiver,无
homework assignment,无
horizontal movement,"un. 水平运动
"
household utensil,[化学 冶金] 家用厨房设备
housing office, 学校住宿办公室；住房办公室；宿舍管理处
How about ...?, 怎么样；如何；怎麽样
huge explosion,无
human race,"n. 人类
"
hurry up,"na. 催促；赶快
"
hydrothermal vent,深海热泉；深海热液喷口
I bet ..., 我敢打赌；我敢说；我肯定
I doubt ...,无
I'd like to do ...,无
identify with,"v. 相同于
"
identify ... with,"v. 相同于
"
if only,"na. 只要；只要…就好了
"
igneous rock,"na. 火成岩
"
illegal earnings,[法] 不法盈余
illegal parking,"n. 非法停车
"
immerge oneself into,无
immune defense,"un. 免疫防御
"
impact on, 影响；对…冲击，碰撞；对…之影响
implicit memory, 内隐记忆；内隐性记忆；内隐式记忆
impose on,"v. 强迫；欺骗
"
improve one's grade,无
improvement in, 表示原物有改进；好转；把…列在…里面
in contest,无
in ... contest,无
in a furious way,无
in a good mood,"adv. 心情好
"
in a hurry,"na. 匆忙；〈口〉容易地；急于要；〔口语〕愿意地
"
in a mess,"na. 肮脏；混乱；困难
"
in a sense,"na. 在某种意义上；有一点儿
"
in addition to,"na. 加之
"
in advance,"na. 预先；在先头
"
in all aspects, 在各方面；在各个方面；全方位沟通
in all likelihood,"na. 十之八九
"
in authority, 持有权力的地位；权威；当权
in brief,"na. 简单地说
"
in case,"na. 以防万一；作为准备；如果；免得〔用作连词〕
"
in case that,"conj. 万一
"
in coalition with,无
in common,"un. 和…有相通之处；公有
"
in competition with, 与…竞争；在与…竞争之中；与……比赛
in conflict with,"na. 和…冲突[矛盾]
"
in consequence,"na. 因此
"
in consequence of,"na. 因为…的原故
"
in contact with,"prep. 和…联系
"
in danger of extinction,无
in detail,"na. 详细
"
in due course,"na. 及时；顺次；及时地；到一定时候
"
in exchange for,"na. 换
"
in favor of,"na. 赞成；有利于；付与
"
in good company, 优势合作；大公司小老板；公私密友
in harmony with,"un. 协调一致地；跟…调和；和衷共济；与…相合
"
in imitation of,na. 模仿
in line,"un. 把话说死；排队；循规蹈矩；一列的
"
in line with,"na. 和…成一直线；〔美国〕和…一致
"
in motion,"na. 动着
"
in no time,"na. 立刻
"
in one's lifetime,无
in one's place, 代替；代替某人；在某人的立场上
in order to,"na. 为了；从而；以便
"
in other words,"na. 换句话说
"
in particular,"na. 特别；一一
"
in perspective,"na. 按照透视画法的[地]；展望中的[地]；正确的[地]
"
in preparation for,"na. 作为…的准备
"
in relation to,"na. 关于…
"
in session, 在开庭；在开会；在会议中
in shape,"un. 完全不；情况；模样
"
in terms of,"na. 依…；从…方面；用…特有的字眼
"
in the chain of,无
in the course of,"na. 在…之中
"
in the end,"na. 终于
"
in the fresh air,na. 在户外
in the margin,无
in the red,"n. 负债
"
in the way,"na. 在路上；妨碍
"
in theory, 理论上；从理论上看；在理论上
individual action,"un. 个人行动
"
inherit from, 从…继承；从……继承而来；来自遗传
ink stain, 墨渍；墨水污渍
insert a card,无
insert the card,无
insert one's card,无
insist on,"v. 坚持；强调
"
inspect sth. for sth.,无
inspect the damage,无
intelligence analysis,无
intend to,"打算(做)..., 想要(做)..."
intense cold,"na. 严寒
"
